['companyname ', 'Зест-персонал'];['position ', 'Data Scientist (коммерческое направление)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44761330?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ООО\xa0РАБЛЗ'];['position ', 'Системный аналитик'];['minsalary ', 160000.0];['maxsalary ', 250000.0];['currency ', 205000.0];['vacancyurl ', 'https://hh.ru/vacancy/43534334?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Неофлекс'];['position ', 'Аналитик АБС (автоматизация банковской системы)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45786977?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Газпром нефть'];['position ', 'Разработчик Qlik View [id50081]'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46285129?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Калужская']
['companyname ', 'GlowByte Consulting'];['position ', 'Java Разработчик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/41446809?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Курская']
['companyname ', 'Сбер для экспертов'];['position ', 'IOS Developer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/44910724?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Wanted'];['position ', 'Smart-contract Security Auditor'];['minsalary ', 180000.0];['maxsalary ', 0.0];['currency ', 0.0];['vacancyurl ', 'https://hh.ru/vacancy/46304755?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'IBS'];['position ', 'Системный аналитик (ML/AutoML)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46266379?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Медиалогия'];['position ', 'Scala/Java разработчик / TeamLead'];['minsalary ', 200000.0];['maxsalary ', 250000.0];['currency ', 225000.0];['vacancyurl ', 'https://hh.ru/vacancy/46309223?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Дмитровская']
['companyname ', 'Неофлекс'];['position ', 'Developer DWH/ETL'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46256300?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'ПАО\xa0«МТС», IT'];['position ', 'QA engineer (Big Data)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46275711?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Технопарк']
['companyname ', 'Teradata'];['position ', 'Senior Data Engineer'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45889707?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Бауманская']
['companyname ', '«РОСБАНК, Societe Generale Group»'];['position ', 'Руководитель команды администраторов платформы Data Lake'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46285891?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'EPAM Systems, Inc.'];['position ', 'C++ разработчик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43849884?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Нагатинская']
['companyname ', 'ООО\xa0ГПМ РТВ'];['position ', 'Системный администратор'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46310307?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Российский футбольный союз'];['position ', 'Разработчик в офис по управлению и работе с данными'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/40371192?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Uchi.ru'];['position ', 'Бизнес-аналитик'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45521271?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Улица 1905 года']
['companyname ', 'Сбер. IT'];['position ', 'Java разработчик (Hadoop)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46277007?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Watt'];['position ', 'TeamLead / Старший Fullstack разработчик'];['minsalary ', 150000.0];['maxsalary ', 300000.0];['currency ', 225000.0];['vacancyurl ', 'https://hh.ru/vacancy/46153596?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Славянский бульвар']
['companyname ', 'Ростелеком-Солар'];['position ', 'Fullstack разработчик (Golang)'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/43144051?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Охотный ряд']
['companyname ', 'Watt'];['position ', 'Старший PHP разработчик'];['minsalary ', 100000.0];['maxsalary ', 250000.0];['currency ', 175000.0];['vacancyurl ', 'https://hh.ru/vacancy/46186925?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'CleverDATA'];['position ', 'Менеджер по маркетингу'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46151003?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Дубровка']
['companyname ', 'Flocktory'];['position ', 'Product analyst'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/46079919?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва']
['companyname ', 'Teradata'];['position ', 'Data Architect'];['minsalary ', None];['maxsalary ', None];['currency ', None];['vacancyurl ', 'https://hh.ru/vacancy/45888834?from=vacancy_search_result&query=bigdata'];['placecompany ', 'Москва, Бауманская']
